Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5327.50,82.66
5327.38,82.54
5327.25,82.48
5327.13,82.42
5327.00,82.35
5326.88,82.30
5326.75,82.28
5326.63,82.27
5326.50,82.27
5326.38,82.26
5326.25,82.24
5326.13,82.23
5326.00,82.22
5325.88,82.23
5325.75,82.25
5325.63,82.28
5325.50,82.31
5325.38,82.35
5325.25,82.40
5325.13,82.42
5325.00,82.41
5324.88,82.38
5324.75,82.35
5324.63,82.34
5324.50,82.32
5324.38,82.29
5324.25,82.25
5324.13,82.23
5324.00,82.22
5323.88,82.23
5323.75,82.25
5323.63,82.26
5323.50,82.26
5323.38,82.25
5323.25,82.24
5323.13,82.24
5323.00,82.25
5322.88,82.27
5322.75,82.27
5322.63,82.27
5322.50,82.28
5322.38,82.28
5322.25,82.29
5322.13,82.29
5322.00,82.29
5321.88,82.28
5321.75,82.27
5321.63,82.26
5321.50,82.26
5321.38,82.28
5321.25,82.27
5321.13,82.25
5321.00,82.20
5320.88,82.15
5320.75,82.12
5320.63,82.12
5320.50,82.13
5320.38,82.16
5320.25,82.18
5320.13,82.19
5320.00,82.20
5319.88,82.19
5319.75,82.19
5319.63,82.18
5319.50,82.17
5319.38,82.16
5319.25,82.16
5319.13,82.17
5319.00,82.18
5318.88,82.18
5318.75,82.17
5318.63,82.17
5318.50,82.18
5318.38,82.19
5318.25,82.19
5318.13,82.17
5318.00,82.16
5317.88,82.17
5317.75,82.23
5317.63,82.32
5317.50,82.41
5317.38,82.47
5317.25,82.50
5317.13,82.51
5317.00,82.54
5316.88,82.57
5316.75,82.57
5316.63,82.52
5316.50,82.43
5316.38,82.34
5316.25,82.28
5316.13,82.24
5316.00,82.23
5315.88,82.24
5315.75,82.27
5315.63,82.31
5315.50,82.34
5315.38,82.37
5315.25,82.38
5315.13,82.37
5315.00,82.34
5314.88,82.29
5314.75,82.24
5314.63,82.20
5314.50,82.19
5314.38,82.20
5314.25,82.21
5314.13,82.22
5314.00,82.21
5313.88,82.21
5313.75,82.21
5313.63,82.22
5313.50,82.22
5313.38,82.21
5313.25,82.19
5313.13,82.18
5313.00,82.18
5312.88,82.19
5312.75,82.22
5312.63,82.24
5312.50,82.24
5312.38,82.22
5312.25,82.20
5312.13,82.18
5312.00,82.19
5311.88,82.19
5311.75,82.20
5311.63,82.21
5311.50,82.21
5311.38,82.23
5311.25,82.23
5311.13,82.22
5311.00,82.19
5310.88,82.17
5310.75,82.17
5310.63,82.20
5310.50,82.25
5310.38,82.29
5310.25,82.31
5310.13,82.31
5310.00,82.30
5309.88,82.29
5309.75,82.29
5309.63,82.29
5309.50,82.30
5309.38,82.32
5309.25,82.38
5309.13,82.51
5309.00,82.75
5308.88,83.07
5308.75,83.36
5308.63,83.49
5308.50,83.43
5308.38,83.31
5308.25,83.26
5308.13,83.24
5308.00,83.12
5307.88,82.87
5307.75,82.60
5307.63,82.40
5307.50,82.31
5307.38,82.27
5307.25,82.26
5307.13,82.25
5307.00,82.26
5306.88,82.29
5306.75,82.32
5306.63,82.34
5306.50,82.34
5306.38,82.31
5306.25,82.26
5306.13,82.23
5306.00,82.22
5305.88,82.24
5305.75,82.25
5305.63,82.24
5305.50,82.22
5305.38,82.18
5305.25,82.14
5305.13,82.09
5305.00,82.03
5304.88,81.96
5304.75,81.93
5304.63,81.94
5304.50,82.00
5304.38,82.09
5304.25,82.16
5304.13,82.21
5304.00,82.24
5303.88,82.25
5303.75,82.26
5303.63,82.24
5303.50,82.21
5303.38,82.19
5303.25,82.19
5303.13,82.18
5303.00,82.17
5302.88,82.15
5302.75,82.15
5302.63,82.16
5302.50,82.16
5302.38,82.16
5302.25,82.18
5302.13,82.21
5302.00,82.23
5301.88,82.24
5301.75,82.23
5301.63,82.21
5301.50,82.20
5301.38,82.22
5301.25,82.27
5301.13,82.34
5301.00,82.39
5300.88,82.41
5300.75,82.42
5300.63,82.45
5300.50,82.48
5300.38,82.49
5300.25,82.45
5300.13,82.38
5300.00,82.30
5299.88,82.24
5299.75,82.21
5299.63,82.21
5299.50,82.24
5299.38,82.26
5299.25,82.25
5299.13,82.21
5299.00,82.16
5298.88,82.14
5298.75,82.14
5298.63,82.16
5298.50,82.20
5298.38,82.24
5298.25,82.27
5298.13,82.29
5298.00,82.29
5297.88,82.28
5297.75,82.26
5297.63,82.23
5297.50,82.20
5297.38,82.18
5297.25,82.17
5297.13,82.18
5297.00,82.20
5296.88,82.20
5296.75,82.20
5296.63,82.21
5296.50,82.21
5296.38,82.20
5296.25,82.19
5296.13,82.17
5296.00,82.14
5295.88,82.13
5295.75,82.13
5295.63,82.14
5295.50,82.15
5295.38,82.15
5295.25,82.15
5295.13,82.16
5295.00,82.17
5294.88,82.19
5294.75,82.21
5294.63,82.23
5294.50,82.24
5294.38,82.26
5294.25,82.27
5294.13,82.28
5294.00,82.28
5293.88,82.25
5293.75,82.23
5293.63,82.22
5293.50,82.23
5293.38,82.25
5293.25,82.28
5293.13,82.30
5293.00,82.31
5292.88,82.31
5292.75,82.31
5292.63,82.32
5292.50,82.33
5292.38,82.34
5292.25,82.35
5292.13,82.38
5292.00,82.46
5291.88,82.66
5291.75,83.00
5291.63,83.39
5291.50,83.70
5291.38,83.79
5291.25,83.71
5291.13,83.60
5291.00,83.55
5290.88,83.46
5290.75,83.22
5290.63,82.88
5290.50,82.58
5290.38,82.39
5290.25,82.29
5290.13,82.24
5290.00,82.21
5289.88,82.20
5289.75,82.21
5289.63,82.23
5289.50,82.25
5289.38,82.26
5289.25,82.27
5289.13,82.27
5289.00,82.26
5288.88,82.25
5288.75,82.23
5288.63,82.25
5288.50,82.28
5288.38,82.31
5288.25,82.31
5288.13,82.27
5288.00,82.23
5287.88,82.21
5287.75,82.21
5287.63,82.21
5287.50,82.22
5287.38,82.23
5287.25,82.24
5287.13,82.25
5287.00,82.25
5286.88,82.24
5286.75,82.23
5286.63,82.24
5286.50,82.28
5286.38,82.37
5286.25,82.54
5286.13,82.74
5286.00,82.89
5285.88,82.93
5285.75,82.90
5285.63,82.87
5285.50,82.85
5285.38,82.82
5285.25,82.72
5285.13,82.60
5285.00,82.49
5284.88,82.40
5284.75,82.33
5284.63,82.28
5284.50,82.26
5284.38,82.26
5284.25,82.27
5284.13,82.28
5284.00,82.29
5283.88,82.28
5283.75,82.28
5283.63,82.28
5283.50,82.29
5283.38,82.28
5283.25,82.26
5283.13,82.24
5283.00,82.22
5282.88,82.20
5282.75,82.21
5282.63,82.22
5282.50,82.24
5282.38,82.25
5282.25,82.27
5282.13,82.27
5282.00,82.28
5281.88,82.30
5281.75,82.39
5281.63,82.53
5281.50,82.68
5281.38,82.77
5281.25,82.78
5281.13,82.73
5281.00,82.68
5280.88,82.64
5280.75,82.58
5280.63,82.51
5280.50,82.44
5280.38,82.39
5280.25,82.35
5280.13,82.34
5280.00,82.33
5279.88,82.32
5279.75,82.32
5279.63,82.32
5279.50,82.33
5279.38,82.33
5279.25,82.33
5279.13,82.31
5279.00,82.30
5278.88,82.30
5278.75,82.29
5278.63,82.27
5278.50,82.25
5278.38,82.24
5278.25,82.23
5278.13,82.22
5278.00,82.20
5277.88,82.19
5277.75,82.18
5277.63,82.19
5277.50,82.22
5277.38,82.24
5277.25,82.25
5277.13,82.26
5277.00,82.25
5276.88,82.24
5276.75,82.21
5276.63,82.19
5276.50,82.17
5276.38,82.18
5276.25,82.18
5276.13,82.17
5276.00,82.15
5275.88,82.15
5275.75,82.16
5275.63,82.18
5275.50,82.19
5275.38,82.19
5275.25,82.19
5275.13,82.18
5275.00,82.19
5274.88,82.20
5274.75,82.20
5274.63,82.19
5274.50,82.18
5274.38,82.18
5274.25,82.19
5274.13,82.21
5274.00,82.24
5273.88,82.27
5273.75,82.29
5273.63,82.30
5273.50,82.30
5273.38,82.26
5273.25,82.21
5273.13,82.15
5273.00,82.11
5272.88,82.09
5272.75,82.10
5272.63,82.11
5272.50,82.12
5272.38,82.13
5272.25,82.13
5272.13,82.13
5272.00,82.15
5271.88,82.17
5271.75,82.17
5271.63,82.17
5271.50,82.18
5271.38,82.20
5271.25,82.23
5271.13,82.26
5271.00,82.27
5270.88,82.30
5270.75,82.38
5270.63,82.53
5270.50,82.73
5270.38,82.89
5270.25,82.95
5270.13,82.95
5270.00,82.93
5269.88,82.93
5269.75,82.91
5269.63,82.80
5269.50,82.64
5269.38,82.48
5269.25,82.38
5269.13,82.32
5269.00,82.30
5268.88,82.28
5268.75,82.26
5268.63,82.25
5268.50,82.25
5268.38,82.27
5268.25,82.30
5268.13,82.32
5268.00,82.33
5267.88,82.32
5267.75,82.33
5267.63,82.36
5267.50,82.43
5267.38,82.52
5267.25,82.57
5267.13,82.58
5267.00,82.55
5266.88,82.53
5266.75,82.51
5266.63,82.50
5266.50,82.47
5266.38,82.42
5266.25,82.37
5266.13,82.33
5266.00,82.31
5265.88,82.34
5265.75,82.43
5265.63,82.65
5265.50,83.05
5265.38,83.61
5265.25,84.15
5265.13,84.47
5265.00,84.49
5264.88,84.35
5264.75,84.24
5264.63,84.16
5264.50,83.94
5264.38,83.54
5264.25,83.11
5264.13,82.76
5264.00,82.55
5263.88,82.45
5263.75,82.40
5263.63,82.36
5263.50,82.32
5263.38,82.30
5263.25,82.33
5263.13,82.43
5263.00,82.64
5262.88,82.89
5262.75,83.09
5262.63,83.16
5262.50,83.11
5262.38,83.05
5262.25,83.03
5262.13,83.01
5262.00,82.91
5261.88,82.73
5261.75,82.56
5261.63,82.44
5261.50,82.36
5261.38,82.33
5261.25,82.33
5261.13,82.35
5261.00,82.36
5260.88,82.34
5260.75,82.30
5260.63,82.25
5260.50,82.21
5260.38,82.19
5260.25,82.19
5260.13,82.19
5260.00,82.18
5259.88,82.16
5259.75,82.16
5259.63,82.19
5259.50,82.22
5259.38,82.25
5259.25,82.26
5259.13,82.25
5259.00,82.23
5258.88,82.20
5258.75,82.19
5258.63,82.17
5258.50,82.15
5258.38,82.14
5258.25,82.13
5258.13,82.15
5258.00,82.16
5257.88,82.18
5257.75,82.20
5257.63,82.21
5257.50,82.22
5257.38,82.23
5257.25,82.24
5257.13,82.26
5257.00,82.27
5256.88,82.28
5256.75,82.31
5256.63,82.39
5256.50,82.54
5256.38,82.82
5256.25,83.23
5256.13,83.67
5256.00,83.97
5255.88,84.02
5255.75,83.92
5255.63,83.84
5255.50,83.83
5255.38,83.74
5255.25,83.48
5255.13,83.12
5255.00,82.83
5254.88,82.66
5254.75,82.56
5254.63,82.47
5254.50,82.38
5254.38,82.31
5254.25,82.29
5254.13,82.30
5254.00,82.31
5253.88,82.30
5253.75,82.29
5253.63,82.26
5253.50,82.24
5253.38,82.23
5253.25,82.24
5253.13,82.26
5253.00,82.29
5252.88,82.30
5252.75,82.28
5252.63,82.22
5252.50,82.16
5252.38,82.11
5252.25,82.11
5252.13,82.13
5252.00,82.16
5251.88,82.18
5251.75,82.19
5251.63,82.21
5251.50,82.23
5251.38,82.23
5251.25,82.23
5251.13,82.23
5251.00,82.24
5250.88,82.27
5250.75,82.30
5250.63,82.32
5250.50,82.34
5250.38,82.36
5250.25,82.37
5250.13,82.40
5250.00,82.50
5249.88,82.75
5249.75,83.20
5249.63,83.73
5249.50,84.12
5249.38,84.22
5249.25,84.10
5249.13,83.98
5249.00,83.96
5248.88,83.91
5248.75,83.72
5248.63,83.40
5248.50,83.07
5248.38,82.83
5248.25,82.71
5248.13,82.68
5248.00,82.65
5247.88,82.60
5247.75,82.52
5247.63,82.47
5247.50,82.43
5247.38,82.41
5247.25,82.38
5247.13,82.36
5247.00,82.35
5246.88,82.33
5246.75,82.30
5246.63,82.27
5246.50,82.26
5246.38,82.29
5246.25,82.37
5246.13,82.51
5246.00,82.68
5245.88,82.85
5245.75,82.95
5245.63,83.00
5245.50,83.06
5245.38,83.23
5245.25,83.46
5245.13,83.59
5245.00,83.54
5244.88,83.38
5244.75,83.25
5244.63,83.19
5244.50,83.12
5244.38,82.95
5244.25,82.71
5244.13,82.49
5244.00,82.34
5243.88,82.25
5243.75,82.21
5243.63,82.20
5243.50,82.21
5243.38,82.23
5243.25,82.24
5243.13,82.25
5243.00,82.24
5242.88,82.22
5242.75,82.21
5242.63,82.21
5242.50,82.22
5242.38,82.24
5242.25,82.25
5242.13,82.24
5242.00,82.23
5241.88,82.23
5241.75,82.23
5241.63,82.23
5241.50,82.23
5241.38,82.22
5241.25,82.21
5241.13,82.19
5241.00,82.18
5240.88,82.20
5240.75,82.22
5240.63,82.24
5240.50,82.25
5240.38,82.24
5240.25,82.22
5240.13,82.23
5240.00,82.26
5239.88,82.32
5239.75,82.38
5239.63,82.42
5239.50,82.43
5239.38,82.41
5239.25,82.38
5239.13,82.36
5239.00,82.34
5238.88,82.31
5238.75,82.27
5238.63,82.23
5238.50,82.20
5238.38,82.20
5238.25,82.21
5238.13,82.23
5238.00,82.25
5237.88,82.26
5237.75,82.25
5237.63,82.24
5237.50,82.22
5237.38,82.21
5237.25,82.22
5237.13,82.23
5237.00,82.23
5236.88,82.22
5236.75,82.20
5236.63,82.18
5236.50,82.17
5236.38,82.16
5236.25,82.17
5236.13,82.17
5236.00,82.18
5235.88,82.19
5235.75,82.20
5235.63,82.24
5235.50,82.31
5235.38,82.41
5235.25,82.52
5235.13,82.59
5235.00,82.60
5234.88,82.59
5234.75,82.57
5234.63,82.56
5234.50,82.52
5234.38,82.44
5234.25,82.35
5234.13,82.28
5234.00,82.25
5233.88,82.25
5233.75,82.26
5233.63,82.27
5233.50,82.28
5233.38,82.28
5233.25,82.30
5233.13,82.35
5233.00,82.41
5232.88,82.46
5232.75,82.50
5232.63,82.54
5232.50,82.60
5232.38,82.69
5232.25,82.79
5232.13,82.87
5232.00,82.90
5231.88,82.88
5231.75,82.84
5231.63,82.80
5231.50,82.76
5231.38,82.69
5231.25,82.60
5231.13,82.50
5231.00,82.42
5230.88,82.35
5230.75,82.29
5230.63,82.25
5230.50,82.22
5230.38,82.23
5230.25,82.26
5230.13,82.29
5230.00,82.30
5229.88,82.27
5229.75,82.24
5229.63,82.21
5229.50,82.19
5229.38,82.19
5229.25,82.20
5229.13,82.21
5229.00,82.22
5228.88,82.23
5228.75,82.24
5228.63,82.23
5228.50,82.22
5228.38,82.22
5228.25,82.22
5228.13,82.22
5228.00,82.24
5227.88,82.31
5227.75,82.42
5227.63,82.55
5227.50,82.62
5227.38,82.64
5227.25,82.65
5227.13,82.70
5227.00,82.82
5226.88,83.03
5226.75,83.32
5226.63,83.64
5226.50,83.84
5226.38,83.85
5226.25,83.74
5226.13,83.66
5226.00,83.64
5225.88,83.53
5225.75,83.28
5225.63,82.96
5225.50,82.68
5225.38,82.50
5225.25,82.40
5225.13,82.37
5225.00,82.40
5224.88,82.44
5224.75,82.47
5224.63,82.47
5224.50,82.45
5224.38,82.44
5224.25,82.44
5224.13,82.44
5224.00,82.42
5223.88,82.38
5223.75,82.36
5223.63,82.35
5223.50,82.35
5223.38,82.35
5223.25,82.35
5223.13,82.34
5223.00,82.33
5222.88,82.30
5222.75,82.28
5222.63,82.26
5222.50,82.23
5222.38,82.21
5222.25,82.19
5222.13,82.18
5222.00,82.18
5221.88,82.18
5221.75,82.17
5221.63,82.17
5221.50,82.17
5221.38,82.18
5221.25,82.20
5221.13,82.21
5221.00,82.21
5220.88,82.21
5220.75,82.22
5220.63,82.25
5220.50,82.29
5220.38,82.35
5220.25,82.45
5220.13,82.57
5220.00,82.65
5219.88,82.66
5219.75,82.61
5219.63,82.58
5219.50,82.60
5219.38,82.62
5219.25,82.59
5219.13,82.52
5219.00,82.45
5218.88,82.41
5218.75,82.41
5218.63,82.44
5218.50,82.48
5218.38,82.49
5218.25,82.48
5218.13,82.45
5218.00,82.45
5217.88,82.45
5217.75,82.45
5217.63,82.41
5217.50,82.35
5217.38,82.30
5217.25,82.28
5217.13,82.28
5217.00,82.29
5216.88,82.27
5216.75,82.25
5216.63,82.21
5216.50,82.20
5216.38,82.22
5216.25,82.23
5216.13,82.24
5216.00,82.22
5215.88,82.21
5215.75,82.21
5215.63,82.23
5215.50,82.24
5215.38,82.24
5215.25,82.23
5215.13,82.22
5215.00,82.20
5214.88,82.18
5214.75,82.18
5214.63,82.19
5214.50,82.20
5214.38,82.21
5214.25,82.22
5214.13,82.23
5214.00,82.25
5213.88,82.25
5213.75,82.25
5213.63,82.23
5213.50,82.20
5213.38,82.18
5213.25,82.16
5213.13,82.14
5213.00,82.13
5212.88,82.11
5212.75,82.11
5212.63,82.11
5212.50,82.13
5212.38,82.13
5212.25,82.14
5212.13,82.15
5212.00,82.18
5211.88,82.21
5211.75,82.23
5211.63,82.21
5211.50,82.18
5211.38,82.17
5211.25,82.18
5211.13,82.21
5211.00,82.24
5210.88,82.25
5210.75,82.24
5210.63,82.24
5210.50,82.30
5210.38,82.47
5210.25,82.77
5210.13,83.10
5210.00,83.31
5209.88,83.33
5209.75,83.25
5209.63,83.20
5209.50,83.21
5209.38,83.17
5209.25,83.01
5209.13,82.77
5209.00,82.57
5208.88,82.46
5208.75,82.43
5208.63,82.43
5208.50,82.43
5208.38,82.43
5208.25,82.45
5208.13,82.54
5208.00,82.75
5207.88,83.11
5207.75,83.58
5207.63,84.00
5207.50,84.23
5207.38,84.23
5207.25,84.10
5207.13,84.00
5207.00,83.92
5206.88,83.77
5206.75,83.52
5206.63,83.24
5206.50,82.99
5206.38,82.81
5206.25,82.72
5206.13,82.69
5206.00,82.65
5205.88,82.56
5205.75,82.45
5205.63,82.34
5205.50,82.27
5205.38,82.23
5205.25,82.22
5205.13,82.23
5205.00,82.26
5204.88,82.28
5204.75,82.28
5204.63,82.27
5204.50,82.26
5204.38,82.25
5204.25,82.23
5204.13,82.20
5204.00,82.17
5203.88,82.14
5203.75,82.12
5203.63,82.10
5203.50,82.08
5203.38,82.09
5203.25,82.10
5203.13,82.11
5203.00,82.11
5202.88,82.12
5202.75,82.13
5202.63,82.16
5202.50,82.18
5202.38,82.18
5202.25,82.18
5202.13,82.19
5202.00,82.19
5201.88,82.20
5201.75,82.20
5201.63,82.21
5201.50,82.24
5201.38,82.28
5201.25,82.31
5201.13,82.31
5201.00,82.29
5200.88,82.26
5200.75,82.23
5200.63,82.22
5200.50,82.22
5200.38,82.22
5200.25,82.22
5200.13,82.24
5200.00,82.26
5199.88,82.28
5199.75,82.29
5199.63,82.29
5199.50,82.27
5199.38,82.25
5199.25,82.23
5199.13,82.26
5199.00,82.34
5198.88,82.44
5198.75,82.52
5198.63,82.54
5198.50,82.53
5198.38,82.56
5198.25,82.65
5198.13,82.79
5198.00,82.89
5197.88,82.89
5197.75,82.82
5197.63,82.77
5197.50,82.77
5197.38,82.76
5197.25,82.70
5197.13,82.56
5197.00,82.41
5196.88,82.29
5196.75,82.21
5196.63,82.18
5196.50,82.18
5196.38,82.20
5196.25,82.23
5196.13,82.24
5196.00,82.24
5195.88,82.22
5195.75,82.20
5195.63,82.17
5195.50,82.15
5195.38,82.14
5195.25,82.13
5195.13,82.12
5195.00,82.14
5194.88,82.17
5194.75,82.19
5194.63,82.20
5194.50,82.21
5194.38,82.22
5194.25,82.23
5194.13,82.22
5194.00,82.21
5193.88,82.21
5193.75,82.20
5193.63,82.19
5193.50,82.18
5193.38,82.17
5193.25,82.16
5193.13,82.15
5193.00,82.14
5192.88,82.13
5192.75,82.12
5192.63,82.11
5192.50,82.09
5192.38,82.08
5192.25,82.07
5192.13,82.07
5192.00,82.08
5191.88,82.09
5191.75,82.09
5191.63,82.09
5191.50,82.11
5191.38,82.16
5191.25,82.23
5191.13,82.28
5191.00,82.30
5190.88,82.30
5190.75,82.30
5190.63,82.33
5190.50,82.38
5190.38,82.43
5190.25,82.47
5190.13,82.48
5190.00,82.47
5189.88,82.48
5189.75,82.49
5189.63,82.48
5189.50,82.45
5189.38,82.40
5189.25,82.37
5189.13,82.33
5189.00,82.30
5188.88,82.26
5188.75,82.23
5188.63,82.23
5188.50,82.24
5188.38,82.25
5188.25,82.25
5188.13,82.24
5188.00,82.23
5187.88,82.22
5187.75,82.22
5187.63,82.22
5187.50,82.23
5187.38,82.25
5187.25,82.29
5187.13,82.30
5187.00,82.30
5186.88,82.29
5186.75,82.32
5186.63,82.39
5186.50,82.51
5186.38,82.67
5186.25,82.88
5186.13,83.08
5186.00,83.18
5185.88,83.14
5185.75,83.02
5185.63,82.92
5185.50,82.85
5185.38,82.78
5185.25,82.66
5185.13,82.51
5185.00,82.38
5184.88,82.29
5184.75,82.24
5184.63,82.21
5184.50,82.19
5184.38,82.16
5184.25,82.13
5184.13,82.13
5184.00,82.15
5183.88,82.18
5183.75,82.19
5183.63,82.18
5183.50,82.16
5183.38,82.16
5183.25,82.17
5183.13,82.19
5183.00,82.20
5182.88,82.19
5182.75,82.16
5182.63,82.13
5182.50,82.10
5182.38,82.11
5182.25,82.16
5182.13,82.24
5182.00,82.34
5181.88,82.41
5181.75,82.44
5181.63,82.43
5181.50,82.40
5181.38,82.37
5181.25,82.34
5181.13,82.30
5181.00,82.27
5180.88,82.26
5180.75,82.25
5180.63,82.23
5180.50,82.21
5180.38,82.19
5180.25,82.19
5180.13,82.20
5180.00,82.23
5179.88,82.27
5179.75,82.32
5179.63,82.37
5179.50,82.40
5179.38,82.40
5179.25,82.40
5179.13,82.38
5179.00,82.35
5178.88,82.33
5178.75,82.31
5178.63,82.28
5178.50,82.27
5178.38,82.25
5178.25,82.23
5178.13,82.22
5178.00,82.21
5177.88,82.21
5177.75,82.22
5177.63,82.25
5177.50,82.27
5177.38,82.28
5177.25,82.25
5177.13,82.21
5177.00,82.18
5176.88,82.17
5176.75,82.17
5176.63,82.17
5176.50,82.17
5176.38,82.16
5176.25,82.17
5176.13,82.17
5176.00,82.18
5175.88,82.19
5175.75,82.21
5175.63,82.22
5175.50,82.22
5175.38,82.20
5175.25,82.17
5175.13,82.14
5175.00,82.13
5174.88,82.15
5174.75,82.18
5174.63,82.19
5174.50,82.18
5174.38,82.18
5174.25,82.20
5174.13,82.23
5174.00,82.23
5173.88,82.21
5173.75,82.16
5173.63,82.13
5173.50,82.12
5173.38,82.14
5173.25,82.17
5173.13,82.20
5173.00,82.23
5172.88,82.23
5172.75,82.22
5172.63,82.21
5172.50,82.20
5172.38,82.20
5172.25,82.21
5172.13,82.24
5172.00,82.30
5171.88,82.38
5171.75,82.47
5171.63,82.52
5171.50,82.52
5171.38,82.51
5171.25,82.50
5171.13,82.48
5171.00,82.42
5170.88,82.34
5170.75,82.27
5170.63,82.23
5170.50,82.20
5170.38,82.16
5170.25,82.11
5170.13,82.06
5170.00,82.02
5169.88,82.00
5169.75,81.99
5169.63,81.99
5169.50,82.00
5169.38,82.04
5169.25,82.10
5169.13,82.14
5169.00,82.16
5168.88,82.17
5168.75,82.18
5168.63,82.20
5168.50,82.21
5168.38,82.22
5168.25,82.23
5168.13,82.22
5168.00,82.20
5167.88,82.18
5167.75,82.18
5167.63,82.20
5167.50,82.22
5167.38,82.25
5167.25,82.26
5167.13,82.26
5167.00,82.25
5166.88,82.23
5166.75,82.22
5166.63,82.22
5166.50,82.23
5166.38,82.23
5166.25,82.23
5166.13,82.24
5166.00,82.24
5165.88,82.26
5165.75,82.28
5165.63,82.30
5165.50,82.31
5165.38,82.33
5165.25,82.37
5165.13,82.47
5165.00,82.60
5164.88,82.71
5164.75,82.76
5164.63,82.76
5164.50,82.75
5164.38,82.73
5164.25,82.68
5164.13,82.58
5164.00,82.47
5163.88,82.37
5163.75,82.30
5163.63,82.24
5163.50,82.20
5163.38,82.19
5163.25,82.19
5163.13,82.21
5163.00,82.23
5162.88,82.24
5162.75,82.23
5162.63,82.21
5162.50,82.18
5162.38,82.17
5162.25,82.18
5162.13,82.20
5162.00,82.21
5161.88,82.21
5161.75,82.21
5161.63,82.22
5161.50,82.24
5161.38,82.27
5161.25,82.31
5161.13,82.35
5161.00,82.35
5160.88,82.32
5160.75,82.27
5160.63,82.21
5160.50,82.16
5160.38,82.12
5160.25,82.09
5160.13,82.08
5160.00,82.09
5159.88,82.11
5159.75,82.12
5159.63,82.12
5159.50,82.09
5159.38,82.06
5159.25,82.04
5159.13,82.04
5159.00,82.05
5158.88,82.08
5158.75,82.11
5158.63,82.14
5158.50,82.18
5158.38,82.23
5158.25,82.29
5158.13,82.34
5158.00,82.35
5157.88,82.34
5157.75,82.33
5157.63,82.32
5157.50,82.32
5157.38,82.31
5157.25,82.30
5157.13,82.29
5157.00,82.30
5156.88,82.34
5156.75,82.39
5156.63,82.44
5156.50,82.46
5156.38,82.46
5156.25,82.46
5156.13,82.46
5156.00,82.44
5155.88,82.41
5155.75,82.34
5155.63,82.26
5155.50,82.19
5155.38,82.15
5155.25,82.15
5155.13,82.17
5155.00,82.18
5154.88,82.18
5154.75,82.19
5154.63,82.20
5154.50,82.21
5154.38,82.20
5154.25,82.19
5154.13,82.18
5154.00,82.18
5153.88,82.20
5153.75,82.23
5153.63,82.25
5153.50,82.28
5153.38,82.30
5153.25,82.32
5153.13,82.34
5153.00,82.36
5152.88,82.36
5152.75,82.35
5152.63,82.34
5152.50,82.33
5152.38,82.32
5152.25,82.30
5152.13,82.28
5152.00,82.27
5151.88,82.29
5151.75,82.31
5151.63,82.33
5151.50,82.33
5151.38,82.31
5151.25,82.30
5151.13,82.29
5151.00,82.28
5150.88,82.26
5150.75,82.25
5150.63,82.26
5150.50,82.27
5150.38,82.28
5150.25,82.29
5150.13,82.30
5150.00,82.30
5149.88,82.30
5149.75,82.28
5149.63,82.25
5149.50,82.21
5149.38,82.17
5149.25,82.14
5149.13,82.13
5149.00,82.13
5148.88,82.14
5148.75,82.14
5148.63,82.14
5148.50,82.12
5148.38,82.10
5148.25,82.08
5148.13,82.09
5148.00,82.12
5147.88,82.16
5147.75,82.19
5147.63,82.21
5147.50,82.23
5147.38,82.24
5147.25,82.24
5147.13,82.23
5147.00,82.22
5146.88,82.20
5146.75,82.20
5146.63,82.20
5146.50,82.22
5146.38,82.24
5146.25,82.25
5146.13,82.26
5146.00,82.26
5145.88,82.24
5145.75,82.21
5145.63,82.19
5145.50,82.18
5145.38,82.19
5145.25,82.20
5145.13,82.20
5145.00,82.17
5144.88,82.15
5144.75,82.16
5144.63,82.17
5144.50,82.18
5144.38,82.18
5144.25,82.18
5144.13,82.19
5144.00,82.22
5143.88,82.23
5143.75,82.23
5143.63,82.22
5143.50,82.22
5143.38,82.24
5143.25,82.30
5143.13,82.39
5143.00,82.48
5142.88,82.51
5142.75,82.48
5142.63,82.41
5142.50,82.34
5142.38,82.30
5142.25,82.26
5142.13,82.22
5142.00,82.17
5141.88,82.14
5141.75,82.13
5141.63,82.15
5141.50,82.19
5141.38,82.22
5141.25,82.23
5141.13,82.20
5141.00,82.17
5140.88,82.15
5140.75,82.14
5140.63,82.14
5140.50,82.15
5140.38,82.15
5140.25,82.16
5140.13,82.17
5140.00,82.18
5139.88,82.19
5139.75,82.19
5139.63,82.20
5139.50,82.19
5139.38,82.19
5139.25,82.18
5139.13,82.17
5139.00,82.16
5138.88,82.16
5138.75,82.17
5138.63,82.19
5138.50,82.23
5138.38,82.26
5138.25,82.27
5138.13,82.27
5138.00,82.26
5137.88,82.26
5137.75,82.27
5137.63,82.27
5137.50,82.26
5137.38,82.24
5137.25,82.23
5137.13,82.22
5137.00,82.21
5136.88,82.19
5136.75,82.18
5136.63,82.17
5136.50,82.18
5136.38,82.19
5136.25,82.20
5136.13,82.21
5136.00,82.21
5135.88,82.21
5135.75,82.21
5135.63,82.19
5135.50,82.17
5135.38,82.15
5135.25,82.13
5135.13,82.12
5135.00,82.12
5134.88,82.13
5134.75,82.15
5134.63,82.17
5134.50,82.19
5134.38,82.22
5134.25,82.23
5134.13,82.24
5134.00,82.24
5133.88,82.24
