Data from roomtemp1_322 nm__0__15-20-41-799.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:21:24.417	1743805284417	-0.017
15:21:24.451	1743805284451	-0.01525
15:21:24.475	1743805284475	-0.02077
15:21:24.494	1743805284494	-0.02158
15:21:24.514	1743805284514	-0.01422
15:21:24.533	1743805284533	-0.02158
15:21:24.553	1743805284553	-0.02733
15:21:24.572	1743805284572	-0.02216
15:21:24.591	1743805284591	-0.01695
15:21:24.611	1743805284611	-0.02182
15:21:24.630	1743805284630	-0.02105
15:21:24.650	1743805284650	-0.01937
15:21:24.669	1743805284669	-0.01913
15:21:24.689	1743805284689	-0.01074
15:21:24.708	1743805284708	-0.01954
15:21:24.728	1743805284728	-0.01927
15:21:24.747	1743805284747	-0.01298
15:21:24.767	1743805284767	-0.00892
15:21:24.786	1743805284786	-0.01293
15:21:24.806	1743805284806	-0.02127
15:21:24.825	1743805284825	-0.01835
15:21:24.845	1743805284845	-0.02548
15:21:24.864	1743805284864	-0.01454
15:21:24.884	1743805284884	-0.01889
15:21:24.903	1743805284903	-0.01373
15:21:24.922	1743805284922	-0.01939
15:21:24.942	1743805284942	-0.0223
15:21:24.961	1743805284961	-0.02031
15:21:24.981	1743805284981	-0.0291
15:21:25.000	1743805285000	-0.02223
15:21:25.020	1743805285020	-0.01785
15:21:25.039	1743805285039	-0.01452
15:21:25.059	1743805285059	-0.0169
15:21:25.078	1743805285078	-0.02633
15:21:25.098	1743805285098	-0.01432
15:21:25.117	1743805285117	-0.02031
15:21:25.136	1743805285136	-0.01427
15:21:25.156	1743805285156	-0.01452
15:21:25.175	1743805285175	-0.01666
15:21:25.195	1743805285195	-0.02021
15:21:25.214	1743805285214	-0.01753
15:21:25.234	1743805285234	-0.02868
15:21:25.253	1743805285253	-0.02553
15:21:25.273	1743805285273	-0.02529
15:21:25.292	1743805285292	-0.0234
15:21:25.311	1743805285311	-0.01702
15:21:25.331	1743805285331	-0.01726
15:21:25.350	1743805285350	-0.02381
15:21:25.370	1743805285370	-0.0234
15:21:25.389	1743805285389	-0.01624
15:21:25.409	1743805285409	-0.0236
15:21:25.428	1743805285428	-0.01202
15:21:25.447	1743805285447	-0.01886
15:21:25.467	1743805285467	-0.02105
15:21:25.486	1743805285486	-0.02004
15:21:25.506	1743805285506	-0.01641
15:21:25.525	1743805285525	-0.01961
15:21:25.545	1743805285545	-0.01811
15:21:25.580	1743805285580	-0.01959
15:21:25.604	1743805285604	-0.0184
15:21:25.623	1743805285623	-0.02031
15:21:25.642	1743805285642	-0.02712
15:21:25.662	1743805285662	-0.01503
15:21:25.681	1743805285681	-0.02173
15:21:25.700	1743805285700	-0.01456
15:21:25.720	1743805285720	-0.02098
15:21:25.739	1743805285739	-0.02228
15:21:25.759	1743805285759	-0.02117
15:21:25.778	1743805285778	-0.01802
15:21:25.798	1743805285798	-0.02702
15:21:25.817	1743805285817	-0.01768
15:21:25.837	1743805285837	-0.02712
15:21:25.856	1743805285856	-0.01586
15:21:25.875	1743805285875	-0.01898
15:21:25.895	1743805285895	-0.0139
15:21:25.915	1743805285915	-0.01022
15:21:25.934	1743805285934	-0.02345
15:21:25.953	1743805285953	-0.02081
15:21:25.973	1743805285973	-0.01821
15:21:25.992	1743805285992	-0.01756
15:21:26.012	1743805286012	-0.01481
15:21:26.031	1743805286031	-0.01975
15:21:26.051	1743805286051	-0.0184
15:21:26.070	1743805286070	-0.01544
15:21:26.090	1743805286090	-0.01891
15:21:26.129	1743805286129	-0.02565
15:21:26.148	1743805286148	-0.0178
15:21:26.167	1743805286167	-0.01478
15:21:26.187	1743805286187	-0.02362
15:21:26.206	1743805286206	-0.02089
15:21:26.226	1743805286226	-0.02002
15:21:26.245	1743805286245	-0.02221
15:21:26.265	1743805286265	-0.02237
15:21:26.284	1743805286284	-0.02028
15:21:26.304	1743805286304	-0.02163
15:21:26.323	1743805286323	-0.02178
15:21:26.343	1743805286343	-0.01789
15:21:26.362	1743805286362	-0.01966
15:21:26.382	1743805286382	-0.02079
15:21:26.401	1743805286401	-0.01177
15:21:26.420	1743805286420	-0.02324
15:21:26.440	1743805286440	-0.01951
15:21:26.459	1743805286459	-0.0219
15:21:26.479	1743805286479	-0.01692
15:21:26.498	1743805286498	-0.01736
15:21:26.517	1743805286517	-0.02431
15:21:26.537	1743805286537	-0.02486
15:21:26.556	1743805286556	-0.0193
15:21:26.576	1743805286576	-0.01758
15:21:26.595	1743805286595	-0.01717
15:21:26.615	1743805286615	-0.01985
15:21:26.634	1743805286634	-0.01639
15:21:26.654	1743805286654	-0.02127
15:21:26.688	1743805286688	-0.01828
15:21:26.712	1743805286712	-0.01128
15:21:26.732	1743805286732	-0.01903
15:21:26.751	1743805286751	-0.02154
15:21:26.770	1743805286770	-0.01831
15:21:26.790	1743805286790	-0.02242
15:21:26.810	1743805286810	-0.02134
15:21:26.829	1743805286829	-0.01079
15:21:26.848	1743805286848	-0.02214
15:21:26.867	1743805286867	-0.01956
15:21:26.888	1743805286888	-0.01954
15:21:26.907	1743805286907	-0.02288
15:21:26.926	1743805286926	-0.01564
15:21:26.945	1743805286945	-0.01864
15:21:26.965	1743805286965	-0.01207
15:21:26.985	1743805286985	-0.01847
15:21:27.005	1743805287005	-0.01617
15:21:27.023	1743805287023	-0.01995
15:21:27.043	1743805287043	-0.02038
15:21:27.062	1743805287062	-0.01746
15:21:27.082	1743805287082	-0.02197
15:21:27.101	1743805287101	-0.02403
15:21:27.121	1743805287121	-0.01478
15:21:27.140	1743805287140	-0.01646
15:21:27.159	1743805287159	-0.01886
15:21:27.179	1743805287179	-0.01901
15:21:27.198	1743805287198	-0.01835
15:21:27.218	1743805287218	-0.01598
15:21:27.238	1743805287238	-0.01422
15:21:27.257	1743805287257	-0.01913
15:21:27.277	1743805287277	-0.0162
15:21:27.296	1743805287296	-0.01632
15:21:27.315	1743805287315	-0.02016
15:21:27.335	1743805287335	-0.02664
15:21:27.354	1743805287354	-0.01915
15:21:27.374	1743805287374	-0.01751
15:21:27.393	1743805287393	-0.01901
15:21:27.413	1743805287413	-0.02476
15:21:27.432	1743805287432	-0.01884
15:21:27.451	1743805287451	-0.01821
15:21:27.471	1743805287471	-0.01705
15:21:27.490	1743805287490	-0.01705
15:21:27.510	1743805287510	-0.01466
15:21:27.529	1743805287529	-0.02077
15:21:27.548	1743805287548	-0.02376
15:21:27.568	1743805287568	-0.01266
15:21:27.588	1743805287588	-0.01961
15:21:27.607	1743805287607	-0.01383
15:21:27.627	1743805287627	-0.01855
15:21:27.646	1743805287646	-0.01975
15:21:27.665	1743805287665	-0.01378
15:21:27.685	1743805287685	-0.0186
15:21:27.704	1743805287704	-0.01719
15:21:27.738	1743805287738	-0.01809
15:21:27.762	1743805287762	-0.02214
15:21:27.782	1743805287782	-0.02178
15:21:27.802	1743805287802	-0.01886
15:21:27.821	1743805287821	-0.02158
15:21:27.841	1743805287841	-0.01165
15:21:27.860	1743805287860	-0.01383
15:21:27.880	1743805287880	-0.02204
15:21:27.899	1743805287899	-0.02161
15:21:27.919	1743805287919	-0.0224
15:21:27.938	1743805287938	-0.02565
15:21:27.957	1743805287957	-0.02312
15:21:27.977	1743805287977	-0.01617
15:21:27.996	1743805287996	-0.02002
15:21:28.016	1743805288016	-0.01209
15:21:28.035	1743805288035	-0.0143
15:21:28.055	1743805288055	-0.01702
15:21:28.074	1743805288074	-0.01483
15:21:28.093	1743805288093	-0.01607
15:21:28.112	1743805288112	-0.02009
15:21:28.132	1743805288132	-0.0234
15:21:28.152	1743805288152	-0.02045
15:21:28.171	1743805288171	-0.013
15:21:28.190	1743805288190	-0.02057
15:21:28.210	1743805288210	-0.01772
15:21:28.229	1743805288229	-0.01556
15:21:28.263	1743805288263	-0.02151
15:21:28.288	1743805288288	-0.01869
15:21:28.307	1743805288307	-0.01471
15:21:28.327	1743805288327	-0.02163
15:21:28.346	1743805288346	-0.01637
15:21:28.366	1743805288366	-0.01818
15:21:28.385	1743805288385	-0.01263
15:21:28.404	1743805288404	-0.02379
15:21:28.424	1743805288424	-0.01534
15:21:28.443	1743805288443	-0.02302
15:21:28.463	1743805288463	-0.01661
15:21:28.482	1743805288482	-0.0223
15:21:28.501	1743805288501	-0.02237
15:21:28.521	1743805288521	-0.01843
15:21:28.541	1743805288541	-0.01583
15:21:28.560	1743805288560	-0.02093
15:21:28.580	1743805288580	-0.01422
15:21:28.600	1743805288600	-0.01985
15:21:28.619	1743805288619	-0.02297
15:21:28.638	1743805288638	-0.01954
15:21:28.657	1743805288657	-0.01168
15:21:28.677	1743805288677	-0.00867
15:21:28.696	1743805288696	-0.01368
15:21:28.716	1743805288716	-0.01131
15:21:28.735	1743805288735	-0.01283
15:21:28.769	1743805288769	-0.02381
15:21:28.793	1743805288793	-0.00887
15:21:28.813	1743805288813	-0.01893
15:21:28.832	1743805288832	-0.01622
15:21:28.852	1743805288852	-0.01408
15:21:28.871	1743805288871	-0.02319
15:21:28.891	1743805288891	-0.02235
15:21:28.910	1743805288910	-0.01753
15:21:28.930	1743805288930	-0.0219
15:21:28.949	1743805288949	-0.02249
15:21:28.969	1743805288969	-0.01741
15:21:28.988	1743805288988	-0.02014
15:21:29.007	1743805289007	-0.01756
15:21:29.027	1743805289027	-0.01549
15:21:29.046	1743805289046	-0.02151
15:21:29.066	1743805289066	-0.02043
15:21:29.085	1743805289085	-0.0159
15:21:29.104	1743805289104	-0.01197
15:21:29.124	1743805289124	-0.02079
15:21:29.144	1743805289144	-0.01675
15:21:29.163	1743805289163	-0.01544
15:21:29.183	1743805289183	-0.01666
15:21:29.202	1743805289202	-0.0152
15:21:29.221	1743805289221	-0.01111
15:21:29.241	1743805289241	-0.02081
15:21:29.275	1743805289275	-0.01337
15:21:29.299	1743805289299	-0.02309
15:21:29.319	1743805289319	-0.02593
15:21:29.338	1743805289338	-0.01661
15:21:29.358	1743805289358	-0.02127
15:21:29.377	1743805289377	-0.01578
15:21:29.397	1743805289397	-0.02498
15:21:29.416	1743805289416	-0.0193
15:21:29.435	1743805289435	-0.01393
15:21:29.455	1743805289455	-0.02142
15:21:29.474	1743805289474	-0.02237
15:21:29.494	1743805289494	-0.02605
15:21:29.513	1743805289513	-0.02491
15:21:29.533	1743805289533	-0.01939
15:21:29.552	1743805289552	-0.01505
15:21:29.572	1743805289572	-0.02671
15:21:29.591	1743805289591	-0.02021
15:21:29.611	1743805289611	-0.01942
15:21:29.630	1743805289630	-0.01838
15:21:29.649	1743805289649	-0.01639
15:21:29.669	1743805289669	-0.01833
15:21:29.688	1743805289688	-0.02343
15:21:29.708	1743805289708	-0.02113
15:21:29.727	1743805289727	-0.01753
15:21:29.747	1743805289747	-0.01605
15:21:29.782	1743805289782	-0.01081
15:21:29.805	1743805289805	-0.01922
15:21:29.824	1743805289824	-0.0192
15:21:29.844	1743805289844	-0.02069
15:21:29.863	1743805289863	-0.02441
15:21:29.883	1743805289883	-0.01843
15:21:29.902	1743805289902	-0.01867
15:21:29.922	1743805289922	-0.02572
15:21:29.941	1743805289941	-0.02733
15:21:29.961	1743805289961	-0.02086
15:21:29.980	1743805289980	-0.0131
15:21:29.999	1743805289999	-0.01932
15:21:30.019	1743805290019	-0.01481
15:21:30.039	1743805290039	-0.02154
15:21:30.057	1743805290057	-0.01136
15:21:30.078	1743805290078	-0.02007
15:21:30.097	1743805290097	-0.0159
15:21:30.116	1743805290116	-0.02472
15:21:30.136	1743805290136	-0.01918
15:21:30.155	1743805290155	-0.02048
15:21:30.175	1743805290175	-0.01263
15:21:30.194	1743805290194	-0.01775
15:21:30.213	1743805290213	-0.02134
15:21:30.232	1743805290232	-0.02261
15:21:30.267	1743805290267	-0.01622
15:21:30.291	1743805290291	-0.01939
15:21:30.311	1743805290311	-0.02343
15:21:30.330	1743805290330	-0.01069
15:21:30.350	1743805290350	-0.02048
15:21:30.369	1743805290369	-0.01922
15:21:30.389	1743805290389	-0.0198
15:21:30.408	1743805290408	-0.01113
15:21:30.428	1743805290428	-0.01542
15:21:30.447	1743805290447	-0.01266
15:21:30.466	1743805290466	-0.02074
15:21:30.486	1743805290486	-0.02331
15:21:30.505	1743805290505	-0.02168
15:21:30.525	1743805290525	-0.02407
15:21:30.544	1743805290544	-0.01678
15:21:30.564	1743805290564	-0.01408
15:21:30.583	1743805290583	-0.01675
15:21:30.603	1743805290603	-0.02967
15:21:30.622	1743805290622	-0.01456
15:21:30.641	1743805290641	-0.01403
15:21:30.661	1743805290661	-0.01922
15:21:30.680	1743805290680	-0.01857
15:21:30.700	1743805290700	-0.01802
15:21:30.719	1743805290719	-0.01212
15:21:30.739	1743805290739	-0.02115
15:21:30.773	1743805290773	-0.01022
15:21:30.797	1743805290797	-0.01874
15:21:30.816	1743805290816	-0.01731
15:21:30.836	1743805290836	-0.01131
15:21:30.855	1743805290855	-0.02379
15:21:30.875	1743805290875	-0.02161
15:21:30.895	1743805290895	-0.01456
15:21:30.914	1743805290914	-0.02209
15:21:30.933	1743805290933	-0.01835
15:21:30.953	1743805290953	-0.01534
15:21:30.972	1743805290972	-0.02386
15:21:30.991	1743805290991	-0.01893
15:21:31.011	1743805291011	-0.01889
15:21:31.030	1743805291030	-0.01903
15:21:31.050	1743805291050	-0.0159
15:21:31.069	1743805291069	-0.02417
15:21:31.089	1743805291089	-0.01251
15:21:31.108	1743805291108	-0.01918
15:21:31.128	1743805291128	-0.01847
15:21:31.147	1743805291147	-0.01995
15:21:31.166	1743805291166	-0.01077
15:21:31.186	1743805291186	-0.01879
15:21:31.206	1743805291206	-0.01739
15:21:31.225	1743805291225	-0.01881
15:21:31.245	1743805291245	-0.01312
15:21:31.278	1743805291278	-0.01197
15:21:31.303	1743805291303	-0.01478
15:21:31.322	1743805291322	-0.02173
15:21:31.342	1743805291342	-0.02429
15:21:31.361	1743805291361	-0.01709
15:21:31.381	1743805291381	-0.02026
15:21:31.400	1743805291400	-0.01651
15:21:31.420	1743805291420	-0.01651
15:21:31.439	1743805291439	-0.02168
15:21:31.458	1743805291458	-0.01768
15:21:31.478	1743805291478	-0.01439
15:21:31.498	1743805291498	-0.01091
15:21:31.517	1743805291517	-0.02156
15:21:31.537	1743805291537	-0.02067
15:21:31.556	1743805291556	-0.01222
15:21:31.575	1743805291575	-0.01867
15:21:31.595	1743805291595	-0.01864
15:21:31.614	1743805291614	-0.01714
15:21:31.633	1743805291633	-0.02326
15:21:31.653	1743805291653	-0.01305
15:21:31.673	1743805291673	-0.01317
15:21:31.692	1743805291692	-0.01799
15:21:31.711	1743805291711	-0.01364
15:21:31.731	1743805291731	-0.01226
15:21:31.750	1743805291750	-0.02312
15:21:31.770	1743805291770	-0.01772
15:21:31.789	1743805291789	-0.02028
15:21:31.809	1743805291809	-0.01236
15:21:31.828	1743805291828	-0.02481
15:21:31.848	1743805291848	-0.02209
15:21:31.867	1743805291867	-0.02084
15:21:31.887	1743805291887	-0.02199
15:21:31.906	1743805291906	-0.01758
15:21:31.925	1743805291925	-0.00983
15:21:31.945	1743805291945	-0.02062
15:21:31.964	1743805291964	-0.01847
15:21:31.984	1743805291984	-0.01285
15:21:32.003	1743805292003	-0.01971
15:21:32.023	1743805292023	-0.02069
15:21:32.042	1743805292042	-0.01559
15:21:32.062	1743805292062	-0.02041
15:21:32.081	1743805292081	-0.02484
15:21:32.100	1743805292100	-0.01736
15:21:32.120	1743805292120	-0.01515
15:21:32.139	1743805292139	-0.0153
15:21:32.159	1743805292159	-0.01932
15:21:32.178	1743805292178	-0.01671
15:21:32.198	1743805292198	0.1141
15:21:32.217	1743805292217	-0.01049
15:21:32.251	1743805292251	-0.02223
15:21:32.276	1743805292276	-0.01992
15:21:32.295	1743805292295	-0.01649
15:21:32.315	1743805292315	-0.02182
15:21:32.334	1743805292334	-0.01939
15:21:32.353	1743805292353	-0.01632
15:21:32.373	1743805292373	-0.01629
15:21:32.392	1743805292392	-0.01617
15:21:32.412	1743805292412	-0.02009
15:21:32.432	1743805292432	-0.02414
15:21:32.450	1743805292450	-0.02156
15:21:32.470	1743805292470	-0.01714
15:21:32.490	1743805292490	-0.01903
15:21:32.509	1743805292509	-0.01988
15:21:32.529	1743805292529	-0.00864
15:21:32.548	1743805292548	-0.02045
15:21:32.567	1743805292567	-0.0193
15:21:32.588	1743805292588	-0.00901
15:21:32.606	1743805292606	-0.00482
15:21:32.626	1743805292626	-0.01743
15:21:32.645	1743805292645	-0.02309
15:21:32.665	1743805292665	-0.01447
15:21:32.684	1743805292684	-0.02429
15:21:32.704	1743805292704	-0.01864
15:21:32.723	1743805292723	-0.01983
15:21:32.757	1743805292757	-0.01988
